,model,scenario,variant,named_date,variable,units,plevs,dims,grid,time,difference_in_times,mean,std,qtile10,qtile90,min_NZ,max_NZ
0,EC-Earth3,historical,r1i1p1f1,"['19500101', '19501231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
1,EC-Earth3,historical,r1i1p1f1,"['19510101', '19511231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
2,EC-Earth3,historical,r1i1p1f1,"['19520101', '19521231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
3,EC-Earth3,historical,r1i1p1f1,"['19530101', '19531231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
4,EC-Earth3,historical,r1i1p1f1,"['19540101', '19541231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
5,EC-Earth3,historical,r1i1p1f1,"['19550101', '19551231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
6,EC-Earth3,historical,r1i1p1f1,"['19560101', '19561231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
7,EC-Earth3,historical,r1i1p1f1,"['19570101', '19571231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
8,EC-Earth3,historical,r1i1p1f1,"['19580101', '19581231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
9,EC-Earth3,historical,r1i1p1f1,"['19590101', '19591231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
10,EC-Earth3,historical,r1i1p1f1,"['19600101', '19601231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
11,EC-Earth3,historical,r1i1p1f1,"['19610101', '19611231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
12,EC-Earth3,historical,r1i1p1f1,"['19620101', '19621231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
13,EC-Earth3,historical,r1i1p1f1,"['19630101', '19631231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
14,EC-Earth3,historical,r1i1p1f1,"['19640101', '19641231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
15,EC-Earth3,historical,r1i1p1f1,"['19650101', '19651231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
16,EC-Earth3,historical,r1i1p1f1,"['19660101', '19661231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
17,EC-Earth3,historical,r1i1p1f1,"['19670101', '19671231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
18,EC-Earth3,historical,r1i1p1f1,"['19680101', '19681231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
19,EC-Earth3,historical,r1i1p1f1,"['19690101', '19691231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
20,EC-Earth3,historical,r1i1p1f1,"['19700101', '19701231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
21,EC-Earth3,historical,r1i1p1f1,"['19710101', '19711231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
22,EC-Earth3,historical,r1i1p1f1,"['19720101', '19721231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
23,EC-Earth3,historical,r1i1p1f1,"['19730101', '19731231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
24,EC-Earth3,historical,r1i1p1f1,"['19740101', '19741231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
25,EC-Earth3,historical,r1i1p1f1,"['19750101', '19751231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
26,EC-Earth3,historical,r1i1p1f1,"['19760101', '19761231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
27,EC-Earth3,historical,r1i1p1f1,"['19770101', '19771231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
28,EC-Earth3,historical,r1i1p1f1,"['19780101', '19781231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
29,EC-Earth3,historical,r1i1p1f1,"['19790101', '19791231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
30,EC-Earth3,historical,r1i1p1f1,"['19800101', '19801231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
31,EC-Earth3,historical,r1i1p1f1,"['19810101', '19811231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
32,EC-Earth3,historical,r1i1p1f1,"['19820101', '19821231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
33,EC-Earth3,historical,r1i1p1f1,"['19830101', '19831231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
34,EC-Earth3,historical,r1i1p1f1,"['19840101', '19841231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
35,EC-Earth3,historical,r1i1p1f1,"['19850101', '19851231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
36,EC-Earth3,historical,r1i1p1f1,"['19860101', '19861231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
37,EC-Earth3,historical,r1i1p1f1,"['19870101', '19871231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
38,EC-Earth3,historical,r1i1p1f1,"['19880101', '19881231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
39,EC-Earth3,historical,r1i1p1f1,"['19890101', '19891231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
40,EC-Earth3,historical,r1i1p1f1,"['19900101', '19901231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
41,EC-Earth3,historical,r1i1p1f1,"['19910101', '19911231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
42,EC-Earth3,historical,r1i1p1f1,"['19920101', '19921231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
43,EC-Earth3,historical,r1i1p1f1,"['19930101', '19931231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
44,EC-Earth3,historical,r1i1p1f1,"['19940101', '19941231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
45,EC-Earth3,historical,r1i1p1f1,"['19950101', '19951231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
46,EC-Earth3,historical,r1i1p1f1,"['19960101', '19961231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
47,EC-Earth3,historical,r1i1p1f1,"['19970101', '19971231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
48,EC-Earth3,historical,r1i1p1f1,"['19980101', '19981231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
49,EC-Earth3,historical,r1i1p1f1,"['19990101', '19991231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
50,EC-Earth3,historical,r1i1p1f1,"['20000101', '20001231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
51,EC-Earth3,historical,r1i1p1f1,"['20010101', '20011231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
52,EC-Earth3,historical,r1i1p1f1,"['20020101', '20021231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
53,EC-Earth3,historical,r1i1p1f1,"['20030101', '20031231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
54,EC-Earth3,historical,r1i1p1f1,"['20040101', '20041231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
55,EC-Earth3,historical,r1i1p1f1,"['20050101', '20051231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
56,EC-Earth3,historical,r1i1p1f1,"['20060101', '20061231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
57,EC-Earth3,historical,r1i1p1f1,"['20070101', '20071231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
58,EC-Earth3,historical,r1i1p1f1,"['20080101', '20081231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
59,EC-Earth3,historical,r1i1p1f1,"['20090101', '20091231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
60,EC-Earth3,historical,r1i1p1f1,"['20100101', '20101231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
61,EC-Earth3,historical,r1i1p1f1,"['20110101', '20111231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
62,EC-Earth3,historical,r1i1p1f1,"['20120101', '20121231']",hus,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
63,EC-Earth3,historical,r1i1p1f1,"['20130101', '20131231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
64,EC-Earth3,historical,r1i1p1f1,"['20140101', '20141231']",hus,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
65,EC-Earth3,historical,r1i1p1f1,"['19500101', '19501231']",ta,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
66,EC-Earth3,historical,r1i1p1f1,"['19510101', '19511231']",ta,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
67,EC-Earth3,historical,r1i1p1f1,"['19520101', '19521231']",ta,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
68,EC-Earth3,historical,r1i1p1f1,"['19530101', '19531231']",ta,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
69,EC-Earth3,historical,r1i1p1f1,"['19540101', '19541231']",ta,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
70,EC-Earth3,historical,r1i1p1f1,"['19550101', '19551231']",ta,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
71,EC-Earth3,historical,r1i1p1f1,"['19560101', '19561231']",ta,"Unable to allocate 1.43 GiB for an array with shape (366, 8, 256, 512) and data type float32",,,,,,,,,,,
72,EC-Earth3,historical,r1i1p1f1,"['19570101', '19571231']",ta,"Unable to allocate 1.43 GiB for an array with shape (365, 8, 256, 512) and data type float32",,,,,,,,,,,
